"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"1";"Herr";"";"André";"Schöne";"16.02.1928";"Breitenstraße";"161";"26936";"Stadland";"";"0172/4715858";"04732/10347525";"aschoene@validmail.none";"ja";"25.08.1942"
"2";"Frau";"";"Antje";"Kittler";"12.09.1968";"Am Ufer";"77";"25355";"Groß Offenseth-Aspern";"04123/33839733";"0151/7015890";"";"a-68@retromail.none";"ja";"03.06.1969"
"3";"Frau";"Dr. Dr.";"Cindy";"Gerhardt";"";"Goebelstraße";"136";"53567";"Asbach";"02683/96320502";"";"";"";"ja";"13.07.1950"
"4";"Frau";"";"Ismene";"Lapp";"";"Karweg";"90";"31812";"Bad Pyrmont";"05281/71555867";"0164/2636404";"";"i-lapp@net-mail.none";"ja";"22.05.1978"
"5";"Frau";"";"Marieluise";"Augustin";"";"Elgerter Straße";"82";"86476";"Neuburg an der Kammel";"08238/82926287";"0176/2848491";"08238/45410356";"m_66@retromail.none";"";"28.03.1993"
"6";"k.A.";"";"Siglinde";"Konietzko";"";"Hellertalstraße";"28";"53426";"Schalkenbach";"02636/404392";"0176/2893869";"";"s-konietzko@web.none";"";"18.08.1927"
"7";"Frau";"";"Elgine";"Karras";"";"Achter Straße";"168";"24884";"Selk";"";"0172/5515769";"";"elgine-karras@email.none";"ja";"28.10.2013"
"8";"Frau";"";"Karolina";"Hamburger";"";"Weidengrund";"44";"25899";"Klixbüll";"04662/64406294";"0172/2578539";"";"";"";"07.12.2020"
"9";"Frau";"";"Roseline";"Jäger";"";"Quellenweg";"93";"84478";"Waldkraiburg";"";"";"";"";"ja";"20.01.2005"
"10";"Herr";"";"Hildemar";"Güttler";"";"Pfuhlwiese";"134";"78647";"Trossingen";"07425/77646128";"0173/9678479";"";"";"ja";"20.03.1971"
"11";"Herr";"";"Robert";"Stockinger";"";"Johannes-Flintrop-Straße";"166";"73553";"Alfdorf";"07172/20628897";"0154/9266494";"";"r.stockinger@quickmail.none";"ja";"07.12.1918"
"12";"Herr";"";"Gisbert";"Brendler";"";"Benolper Straße";"114";"42349";"Wuppertal";"0202/19419156";"0152/4193169";"";"gisbert.brendler@mymail.none";"";"24.09.2019"
"13";"Frau";"";"Annagret";"Theuer";"03.10.2014";"Thüringer Weg";"20";"85122";"Hitzhofen";"";"";"";"";"";"31.05.2017"
"14";"Herr";"";"Lennard";"Göhring";"17.12.1977";"Andreasstraße";"69";"41470";"Neuss";"";"0170/2343901";"";"lennard_goehring@spam-mail.none";"nein";"28.08.1979"
"15";"Frau";"";"Heidelies";"Birr";"04.03.1993";"Heinering";"99";"29369";"Ummern";"05083/58063681";"0159/9652944";"";"";"ja";"30.10.1993"
"16";"Frau";"";"Lucy";"Friedemann";"";"Lübecker Weg";"159";"95482";"Gefrees";"09254/36728257";"0176/2761255";"";"l_friedemann@ultramail.none";"";"24.07.1996"
